CategoryID,Category Path
16135,"Books, Magazines > Annuals"
29223,"Books, Magazines > Antiquarian & Collectable"
29792,"Books, Magazines > Audio Books"
171355,"Books, Magazines > Books On Disc"
171220,"Books, Magazines > Children & Young Adults Books > Children's Fiction"
171276,"Books, Magazines > Children & Young Adults Books > Children's Picture Books"
171210,"Books, Magazines > Children & Young Adults Books > Children & YA Non-Fiction"
171222,"Books, Magazines > Children & Young Adults Books > Young Adult Fiction"
279,"Books, Magazines > Children & Young Adults Books > Other Children & Young Adults"
63,"Books, Magazines > Comic Books"
11104,"Books, Magazines > Cook Books"
91158,"Books, Magazines > Dictionaries & Reference > Atlases"
170610,"Books, Magazines > Dictionaries & Reference > Dictionaries"
171274,"Books, Magazines > Dictionaries & Reference > Encyclopedias"
125957,"Books, Magazines > Dictionaries & Reference > Street Directories"
171306,"Books, Magazines > Dictionaries & Reference > Thesauruses"
171308,"Books, Magazines > Dictionaries & Reference > Other"
171228,"Books, Magazines > Fiction Books"
171491,"Books, Magazines > Graphic Novels"
171985,"Books, Magazines > Magazine Subscriptions"
52543,"Books, Magazines > Magazines"
8575,"Books, Magazines > Manga"
171243,"Books, Magazines > Non-Fiction Books"
2228,"Books, Magazines > Textbooks"
171488,"Books, Magazines > Travel Guides"
29399,"Books, Magazines > Wholesale Lots"
268,"Books, Magazines > Other Books"
43015,Business > Bathroom > Hand Dryers
170641,Business > Bathroom > Paper Towels
109463,Business > Bathroom > Other
20161,Business > Business Cards
67216,Business > Websites & Businesses for Sale > Advertising Inventory
170205,Business > Websites & Businesses for Sale > Carts
170596,Business > Websites & Businesses for Sale > Franchises
46689,Business > Websites & Businesses for Sale > Internet Businesses
170206,Business > Websites & Businesses for Sale > Market Stalls
11762,Business > Websites & Businesses for Sale > Service Businesses
11761,Business > Websites & Businesses for Sale > Shops
2992,Business > Websites & Businesses for Sale > Other
46706,Business > Cash Register & Accessories > Barcode Scanners
46708,Business > Cash Register & Accessories > Cash Drawers
11891,Business > Cash Register & Accessories > Cash Registers
71478,Business > Cash Register & Accessories > Card Encoders & Readers
55846,"Business > Cash Register & Accessories > Credit Card Terminals, Readers"
135244,Business > Cash Register & Accessories > Displays
71467,Business > Cash Register & Accessories > Money Handling & Counting > Note Counters
46709,Business > Cash Register & Accessories > Pole Displays
71475,Business > Cash Register & Accessories > POS Scales
46711,Business > Cash Register & Accessories > POS Software
46712,Business > Cash Register & Accessories > Receipt Printers
71472,Business > Cash Register & Accessories > Receipt Rolls
71474,Business > Cash Register & Accessories > Other
46693,Business > Laminators
11829,Business > Office Furniture > Bookshelves
61677,Business > Office Furniture > Chairs
61681,Business > Office Furniture > Cubicles
11832,Business > Office Furniture > Desks
170212,Business > Office Furniture > Dividers
3299,Business > Office Furniture > Filing Cabinets
170213,Business > Office Furniture > Storage Cabinets
3300,Business > Office Furniture > Other
26244,Business > Office Equipment > Binding Machines
9972,Business > Office Equipment > Calculators
185073,Business > Office Equipment > Calculator Accessories
62042,Business > Office Equipment > Dictaphones & Stenography > Dictapones & Voice Recorders
62045,Business > Office Equipment > Dictaphones & Stenography > Dictation Accessories
62044,Business > Office Equipment > Dictaphones & Stenography > Stenographs
94861,Business > Office Equipment > Electronic Dictionaries & Translators
3298,Business > Office Equipment > Fax Machines
14954,Business > Office Equipment > Laser Pointers
67095,Business > Office Equipment > Paper Shredders
109684,Business > Office Equipment > Photocopiers
117525,Business > Office Equipment > Time Clocks & Supplies
25326,"Business > Office Equipment > Typewriters, Word Processors"
67094,Business > Overhead Projectors
112410,Business > Paper Cutters
67073,"Business > Photocopier Accessories, Parts > Cleaning Kits"
170658,"Business > Photocopier Accessories, Parts > Drums"
171533,"Business > Photocopier Accessories, Parts > Fusers"
29405,"Business > Photocopier Accessories, Parts > Toners"
67074,"Business > Photocopier Accessories, Parts > Other"
